name,size,bucket,contentType,timeCreated,updated,storageClass,DownloadTime,BucketDeleted
QueriesIndex-2020-06-10_10-03-57.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T16:03:57Z,2020-06-10T16:03:57Z,STANDARD,2020-06-15 11:26:33,TRUE
QueriesIndex-2020-06-10_12-03-45.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T18:03:45Z,2020-06-10T18:03:45Z,STANDARD,2020-06-15 11:26:35,TRUE
QueriesIndex-2020-06-10_15-03-59.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T21:04:00Z,2020-06-10T21:04:00Z,STANDARD,2020-06-15 11:26:38,TRUE
QueriesIndex-2020-06-10_16-03-53.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T22:03:54Z,2020-06-10T22:03:54Z,STANDARD,2020-06-15 11:26:41,TRUE
QueriesIndex-2020-06-10_17-04-13.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-10T23:04:13Z,2020-06-10T23:04:13Z,STANDARD,2020-06-15 11:26:45,TRUE
QueriesIndex-2020-06-10_18-04-33.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T00:04:34Z,2020-06-11T00:04:34Z,STANDARD,2020-06-15 11:26:46,TRUE
QueriesIndex-2020-06-10_19-04-18.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T01:04:18Z,2020-06-11T01:04:18Z,STANDARD,2020-06-15 11:26:49,TRUE
QueriesIndex-2020-06-10_20-05-08.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T02:05:08Z,2020-06-11T02:05:08Z,STANDARD,2020-06-15 11:26:50,TRUE
QueriesIndex-2020-06-11_08-03-48.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T14:03:49Z,2020-06-11T14:03:49Z,STANDARD,2020-06-15 11:26:54,TRUE
QueriesIndex-2020-06-11_09-04-02.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T15:04:02Z,2020-06-11T15:04:02Z,STANDARD,2020-06-15 11:26:56,TRUE
QueriesIndex-2020-06-11_10-04-01.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T16:04:02Z,2020-06-11T16:04:02Z,STANDARD,2020-06-15 11:26:59,TRUE
QueriesIndex-2020-06-11_12-03-59.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T18:03:59Z,2020-06-11T18:03:59Z,STANDARD,2020-06-15 11:27:01,TRUE
QueriesIndex-2020-06-11_15-03-53.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T21:03:53Z,2020-06-11T21:03:53Z,STANDARD,2020-06-15 11:27:04,TRUE
QueriesIndex-2020-06-11_16-03-55.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-11T22:03:56Z,2020-06-11T22:03:56Z,STANDARD,2020-06-15 11:27:06,TRUE
