QueryKey;geocoder_status;place_id;types
2408102 NATAL 2020-06-12 12:01:27 NS;OK;ChIJU2o7uXMAswcRqAoeJfRAh94;street_address
2408102 NATAL 2020-06-12 12:01:27 NS;OK;ChIJDzTpl634sgcRscet3bc8ziw;street_address
2211001 TERESINA 2020-06-12 12:01:29 EW;OK;ChIJd0VhHnQ7jgcRfL1pnlHjge0;street_address
2211001 TERESINA 2020-06-12 12:01:29 EW;OK;ChIJ58tzsmM3jgcRmqqtY1cQOvQ;street_address
2211001 TERESINA 2020-06-12 12:01:29 EW;OK;ChIJW88wSlY4jgcROAS74ZcoqAI;street_address
2211001 TERESINA 2020-06-12 12:01:30 NS;OK;ChIJBfQ5vZQ_jgcRH6cXmGBqj0Q;street_address
2211001 TERESINA 2020-06-12 12:01:30 NS;OK;ChIJ58tzsmM3jgcRmqqtY1cQOvQ;street_address
2211001 TERESINA 2020-06-12 12:01:30 NS;OK;ChIJF3PyguIyjgcRIbpeBDZlBEY;street_address
3548708 SÃO BERNARDO DO CAMPO 2020-06-12 12:01:33 EW;OK;ChIJAVrmTPxBzpQRn4TRMwbaZvo;street_address
3548708 SÃO BERNARDO DO CAMPO 2020-06-12 12:01:33 EW;OK;ChIJcxoufTNCzpQR7kwVE0BVCBg;street_address
3548708 SÃO BERNARDO DO CAMPO 2020-06-12 12:01:33 EW;OK;ChIJ-84OAYhGzpQRo2tlnRAJwOU;street_address
3548708 SÃO BERNARDO DO CAMPO 2020-06-12 12:01:36 NS;OK;ChIJgTiKC5tDzpQRznDlAH0kPxE;"c(""establishment"", ""point_of_interest"")"
3548708 SÃO BERNARDO DO CAMPO 2020-06-12 12:01:36 NS;OK;ChIJcxoufTNCzpQR7kwVE0BVCBg;street_address
3548708 SÃO BERNARDO DO CAMPO 2020-06-12 12:01:36 NS;OK;ChIJQ-wCSTJHzpQRXCjqLr-ED5Y;street_address
3303500 NOVA IGUAÇU 2020-06-12 12:01:39 EW;OK;ChIJB85GGUZmmQARMdrAOALbuzY;street_address
3303500 NOVA IGUAÇU 2020-06-12 12:01:39 EW;OK;ChIJ4asPzgZnmQARrFG-lr8OZ9Q;street_address
3303500 NOVA IGUAÇU 2020-06-12 12:01:39 EW;OK;ChIJdSgXgTdcmQARNzuS0GxF04k;street_address
3303500 NOVA IGUAÇU 2020-06-12 12:01:40 NS;OK;ChIJgTKzpz5omQAR-l5UXFArxbM;street_address
3303500 NOVA IGUAÇU 2020-06-12 12:01:40 NS;OK;ChIJ4asPzgZnmQARrFG-lr8OZ9Q;street_address
3303500 NOVA IGUAÇU 2020-06-12 12:01:40 NS;OK;ChIJgaNj7YddmQARiWANKlinMH0;street_address
2507507 JOÃO PESSOA 2020-06-12 12:01:41 EW;OK;ChIJbWdCKy_drAcRKHX9q14SrZs;street_address
2507507 JOÃO PESSOA 2020-06-12 12:01:41 EW;OK;ChIJWX5L5-PnrAcRwrB_LxcBqyo;street_address
2507507 JOÃO PESSOA 2020-06-12 12:01:41 EW;OK;ChIJYQvut3zorAcRLHSqN0qfyNs;street_address
2507507 JOÃO PESSOA 2020-06-12 12:01:44 NS;OK;ChIJl4V-2efdrAcR4FW245bAnXI;street_address
2507507 JOÃO PESSOA 2020-06-12 12:01:44 NS;OK;ChIJWX5L5-PnrAcRwrB_LxcBqyo;street_address
2507507 JOÃO PESSOA 2020-06-12 12:01:44 NS;OK;ChIJn1KTeBPqrAcRRaWrQ4lpWvA;street_address
3547809 SANTO ANDRÉ 2020-06-12 12:01:47 EW;OK;ChIJQbq3f7xpzpQR1Wa81SjtNIA;street_address
3547809 SANTO ANDRÉ 2020-06-12 12:01:47 EW;OK;ChIJq7QCWY9CzpQRGcvVwo3ngxo;"c(""establishment"", ""point_of_interest"")"
3547809 SANTO ANDRÉ 2020-06-12 12:01:47 EW;OK;ChIJReLj5TpDzpQRHdxj8sr6sTg;street_address
3547809 SANTO ANDRÉ 2020-06-12 12:01:48 NS;OK;ChIJYwgdzlBdzpQRVWAF417V_9Q;"c(""establishment"", ""gas_station"", ""point_of_interest"")"
3547809 SANTO ANDRÉ 2020-06-12 12:01:48 NS;OK;ChIJq7QCWY9CzpQRGcvVwo3ngxo;"c(""establishment"", ""point_of_interest"")"
3547809 SANTO ANDRÉ 2020-06-12 12:01:48 NS;OK;ChIJx7P8H-tqzpQR_bwAV7_u7J0;street_address
3549904 SÃO JOSÉ DOS CAMPOS 2020-06-12 12:01:50 EW;OK;ChIJi9eYizxNzJQRUHaXcX3MHI4;street_address
